peak,C,O,H,N,S,P,MolForm
161.0456547,6,5,10,0,0,0,NA
161.0820016,7,4,14,0,0,0,NA
163.040156,9,3,8,0,0,0,NA
164.0717997,9,2,11,1,0,0,NA
165.0191746,8,4,6,0,0,0,NA
165.0405636,5,6,10,0,0,0,NA
167.0351007,8,4,8,0,0,0,NA
169.0507841,8,4,10,0,0,0,NA
169.0871294,9,3,14,0,0,0,NA
171.066394,8,4,12,0,0,0,NA
171.1026736,9,3,16,0,0,0,NA
171.1391701,10,2,20,0,0,0,NA
173.0457176,7,5,10,0,0,0,NA
173.0820524,8,4,14,0,0,0,NA
173.11843,9,3,18,0,0,0,NA
175.0612346,7,5,12,0,0,0,NA
179.0559748,6,6,12,0,0,0,NA
179.0562654,6,6,12,0,0,0,NA
180.0669619,5,3,14,2,0,1,NA
181.0509739,5,4,13,1,0,1,NA
182.0461497,4,4,12,2,0,1,NA
183.1026997,10,3,16,0,0,0,NA
184.0616935,8,4,11,1,0,0,NA
187.0975817,9,4,16,0,0,0,NA
191.0197613,6,7,8,0,0,0,NA
192.0235524,8,1,7,3,1,0,NA
193.0874318,7,3,17,1,0,1,NA
195.0303066,5,5,11,1,0,1,NA
195.0510406,6,7,12,0,0,0,NA
195.066705,6,4,15,1,0,1,NA
196.054825,8,1,11,3,1,0,NA
196.061925,5,4,14,2,0,1,NA
197.0459498,5,5,13,1,0,1,NA
203.1289536,10,4,20,0,0,0,NA
207.1031226,8,3,19,1,0,1,NA
209.066796,7,7,14,0,0,0,NA
209.082398,7,4,17,1,0,1,NA
211.0253046,5,6,11,1,0,1,NA
211.0612634,10,5,12,0,0,0,NA
215.0285175,11,1,8,2,1,0,NA
